Permission Category,Permission,admin,site_manager,engineer,production,it,producer,viewer
User Management,View all users,YES,YES,NO,NO,NO,NO,NO
User Management,Invite users,YES,YES (non-admin only),NO,NO,NO,NO,NO
User Management,Create users directly,YES,YES,NO,NO,NO,NO,NO
User Management,Edit user profiles/roles,YES,YES,NO,NO,NO,NO,NO
User Management,Delete users,YES,YES,NO,NO,NO,NO,NO
Studio & PCR Management,Create studios,YES,YES,NO,NO,NO,NO,NO
Studio & PCR Management,Edit studio details,YES,YES,NO,NO,NO,NO,NO
Studio & PCR Management,Delete studios,YES,YES,NO,NO,NO,NO,NO
Studio & PCR Management,Change studio status,YES,YES,YES, NO,YES,NO,NO
Studio & PCR Management,Create PCR rooms,YES,YES,NO,NO,NO,NO,NO
Studio & PCR Management,Edit PCR room details,YES,YES,NO,NO,NO,NO,NO
Studio & PCR Management,Delete PCR rooms,YES,YES,NO,NO,NO,NO,NO
Studio & PCR Management,Change PCR room status,YES,YES,YES,YES,YES,NO,NO
Booking Creation,Create production/rehearsal bookings,YES,YES,NO,NO,NO,YES,NO
Booking Creation,Create maintenance bookings,YES,YES,YES,NO,YES,NO,NO
Booking Creation,Create IT support bookings,YES,YES,NO,NO,YES,NO,NO
Booking Editing,Edit own bookings,YES,YES,YES,YES,YES,YES,NO
Booking Editing,Edit any production/rehearsal booking,YES,YES,YES,NO,NO,YES,NO
Booking Editing,Edit any maintenance booking,YES,YES,YES,NO,YES,NO,NO
Booking Editing,Edit any IT support booking,YES,YES,NO,NO,YES,NO,NO
Booking Deletion,Delete own bookings,YES,YES,YES,YES,YES,YES,NO
Booking Deletion,Delete any production/rehearsal booking,YES,YES,NO,NO,NO,YES,NO
Booking Deletion,Delete any maintenance booking,YES,YES,YES,NO,YES,NO,NO
Booking Deletion,Delete any IT support booking,YES,YES,NO,NO,YES,NO,NO
Booking Copying,Copy any booking,YES,YES,NO,NO,NO,NO,NO
Booking Copying,Copy own/production/rehearsal bookings,YES,YES,NO,NO,NO,YES,NO
Booking Copying,Copy maintenance bookings,YES,YES,YES,NO,YES,NO,NO
Booking Copying,Copy IT support bookings,YES,YES,NO,NO,YES,NO,NO
Site Alerts,Create site alerts,YES,YES,YES,NO,YES,NO,NO
Site Alerts,Edit site alerts,YES,YES,YES,NO,YES,NO,NO
Site Alerts,Delete site alerts,YES,YES,YES,NO,YES,NO,NO
Notification Groups,Manage notification groups,YES,YES,YES,NO,YES,NO,NO
Templates,Create booking templates,YES,YES,YES,YES,YES,YES,YES
Templates,Edit own templates,YES,YES,YES,YES,YES,YES,YES
Templates,Delete own templates,YES,YES,YES,YES,YES,YES,YES
Templates,Edit or delete any template,YES,YES,NO,NO,NO,NO,NO
Booking Attachments,Add attachments to bookings,YES,YES,YES,YES,YES,YES,NO
Booking Attachments,View any attachment (not just own),YES,YES,YES,YES,YES,NO,NO
Booking Attachments,Delete any attachment,YES,YES,NO,NO,NO,NO,NO
Assets,View assets,YES,YES,YES,YES,YES,YES,YES
Assets,Check out assets,YES,YES,YES,YES,YES,YES,NO
Assets,Check in assets,YES,YES,YES,YES,YES,YES,NO
Assets,Add / Edit asset details,YES,YES,YES,YES,YES,YES,NO
Assets,Delete assets,YES,YES,NO,NO,NO,NO,NO
Booking Types,Create booking types,YES,NO,NO,NO,NO,NO,NO
Booking Types,Edit booking types,YES,NO,NO,NO,NO,NO,NO
Booking Types,Delete booking types,YES,NO,NO,NO,NO,NO,NO
Teams,Create teams,YES,YES,NO,NO,NO,NO,NO
Teams,Edit teams,YES,YES,NO,NO,NO,NO,NO
Teams,Delete teams,YES,YES,NO,NO,NO,NO,NO
Teams,Manage team members,YES,YES,NO,NO,NO,NO,NO
Audit Logs,View audit logs,YES,YES,NO,NO,NO,NO,NO
System Settings,Change site name,YES,NO,NO,NO,NO,NO,NO
System Settings,Change timezone,YES,NO,NO,NO,NO,NO,NO
System Settings,Backup and restore database,YES,NO,NO,NO,NO,NO,NO
System Settings,View database health metrics,YES,NO,NO,NO,NO,NO,NO
